state,possession_arrest_rate,black_arrest_rate,white_arrest_rate,black_white_rate_ratio
United States,203.88,567.51,156.06,3.64
Montana,127.62,1064.23,110.60,9.62
Kentucky,141.72,788.34,84.19,9.36
Illinois,43.01,137.84,18.36,7.51
West Virginia,447.32,2516.95,344.26,7.31
Iowa,133.82,776.28,106.90,7.26
Vermont,21.54,126.26,20.83,6.06
North Dakota,332.52,1437.25,260.99,5.51
Minnesota,126.71,536.94,100.02,5.37
Wyoming,592.89,2677.27,515.27,5.20
South Dakota,707.34,2151.53,426.79,5.04
Utah,343.37,1526.97,310.43,4.92
Kansas,80.56,323.84,66.94,4.84
Oklahoma,199.25,719.47,169.62,4.24
Wisconsin,324.37,1125.85,265.58,4.24
Delaware,89.33,222.45,53.57,4.15
Alabama,55.82,128.03,31.01,4.13
New Hampshire,202.10,803.40,195.28,4.11
Massachusetts,4.52,14.76,3.65,4.04
Connecticut,49.85,152.57,37.91,4.02
Maine,54.99,214.84,53.89,3.99
New Mexico,225.71,837.21,210.54,3.98
Idaho,332.16,1026.94,263.83,3.89
Michigan,140.95,373.80,104.06,3.59
Indiana,247.61,712.06,204.01,3.49
New Jersey,369.54,1007.96,292.49,3.45
South Carolina,673.26,1420.68,412.27,3.45
Virginia,314.33,768.01,223.37,3.44
Ohio,248.68,526.73,153.48,3.43
Louisiana,412.48,795.52,237.31,3.35
Rhode Island,37.80,110.17,33.17,3.32
North Carolina,234.85,528.27,162.03,3.26
Tennessee,343.94,820.16,255.09,3.22
Nebraska,409.42,1163.94,379.73,3.07
Arizona,208.75,580.65,190.90,3.04
Nevada,76.65,212.26,69.72,3.04
Pennsylvania,226.52,577.96,190.40,3.04
Georgia,428.81,804.32,271.82,2.96
Mississippi,294.78,478.88,176.39,2.71
Missouri,340.28,780.94,296.38,2.63
New York,287.76,597.59,227.53,2.63
Texas,244.12,561.60,213.99,2.62
Arkansas,322.12,648.46,271.21,2.39
Washington,25.90,52.18,24.44,2.14
Maryland,279.40,470.16,220.74,2.13
Oregon,69.54,130.90,71.74,1.82
California,9.14,18.12,10.00,1.81
Hawaii,55.78,130.90,73.42,1.78
Alaska,53.35,70.82,45.40,1.56
Colorado,82.20,130.51,84.90,1.54
